#bit-address;#reg_name;#channel;#digit;#value
531;preamp;58;3;0
530;preamp;58;2;0
529;preamp;58;1;0
528;preamp;58;0;0
#bit-address;#reg_name;#channel;#digit;#value
527;preamp;57;7;1
526;preamp;57;6;0
525;preamp;57;5;0
524;preamp;57;4;0
523;preamp;57;3;0
522;preamp;57;2;0
521;preamp;57;1;0
520;preamp;57;0;0
#bit-address;#reg_name;#channel;#digit;#value
519;preamp;56;7;1
518;preamp;56;6;0
517;preamp;56;5;0
516;preamp;56;4;0
515;preamp;56;3;0
514;preamp;56;2;0
513;preamp;56;1;0
512;preamp;56;0;0
#bit-address;#reg_name;#channel;#digit;#value
511;preamp;55;7;1
510;preamp;55;6;0
509;preamp;55;5;0
508;preamp;55;4;0
507;preamp;55;3;0
506;preamp;55;2;0
505;preamp;55;1;0
504;preamp;55;0;0
#bit-address;#reg_name;#channel;#digit;#value
503;preamp;54;7;1
502;preamp;54;6;0
501;preamp;54;5;0
500;preamp;54;4;0
499;preamp;54;3;0
498;preamp;54;2;0
497;preamp;54;1;0
496;preamp;54;0;0
#bit-address;#reg_name;#channel;#digit;#value
495;preamp;53;7;1
494;preamp;53;6;0
493;preamp;53;5;0
492;preamp;53;4;0
491;preamp;53;3;0
490;preamp;53;2;0
489;preamp;53;1;0
488;preamp;53;0;0
#bit-address;#reg_name;#channel;#digit;#value
487;preamp;52;7;1
486;preamp;52;6;0
485;preamp;52;5;0
484;preamp;52;4;0
483;preamp;52;3;0
482;preamp;52;2;0
481;preamp;52;1;0
480;preamp;52;0;0
#bit-address;#reg_name;#channel;#digit;#value
479;preamp;51;7;1
478;preamp;51;6;0
477;preamp;51;5;0
476;preamp;51;4;0
475;preamp;51;3;0
474;preamp;51;2;0
473;preamp;51;1;0
472;preamp;51;0;0
#bit-address;#reg_name;#channel;#digit;#value
471;preamp;50;7;1
470;preamp;50;6;0
469;preamp;50;5;0
468;preamp;50;4;0
467;preamp;50;3;0
466;preamp;50;2;0
465;preamp;50;1;0
464;preamp;50;0;0
#bit-address;#reg_name;#channel;#digit;#value
463;preamp;49;7;1
462;preamp;49;6;0
461;preamp;49;5;0
460;preamp;49;4;0
459;preamp;49;3;0
458;preamp;49;2;0
457;preamp;49;1;0
456;preamp;49;0;0
#bit-address;#reg_name;#channel;#digit;#value
455;preamp;48;7;1
454;preamp;48;6;0
453;preamp;48;5;0
452;preamp;48;4;0
451;preamp;48;3;0
450;preamp;48;2;0
449;preamp;48;1;0
448;preamp;48;0;0
#bit-address;#reg_name;#channel;#digit;#value
447;preamp;47;7;1
446;preamp;47;6;0
445;preamp;47;5;0
444;preamp;47;4;0
443;preamp;47;3;0
442;preamp;47;2;0
441;preamp;47;1;0
440;preamp;47;0;0
#bit-address;#reg_name;#channel;#digit;#value
439;preamp;46;7;1
438;preamp;46;6;0
437;preamp;46;5;0
436;preamp;46;4;0
435;preamp;46;3;0
434;preamp;46;2;0
433;preamp;46;1;0
432;preamp;46;0;0
#bit-address;#reg_name;#channel;#digit;#value
431;preamp;45;7;1
430;preamp;45;6;0
429;preamp;45;5;0
428;preamp;45;4;0
427;preamp;45;3;0
426;preamp;45;2;0
425;preamp;45;1;0
424;preamp;45;0;0
#bit-address;#reg_name;#channel;#digit;#value
423;preamp;44;7;1
422;preamp;44;6;0
421;preamp;44;5;0
420;preamp;44;4;0
419;preamp;44;3;0
418;preamp;44;2;0
417;preamp;44;1;0
416;preamp;44;0;0
#bit-address;#reg_name;#channel;#digit;#value
415;preamp;43;7;1
414;preamp;43;6;0
413;preamp;43;5;0
412;preamp;43;4;0
411;preamp;43;3;0
410;preamp;43;2;0
409;preamp;43;1;0
408;preamp;43;0;0
#bit-address;#reg_name;#channel;#digit;#value
407;preamp;42;7;1
406;preamp;42;6;0
405;preamp;42;5;0
404;preamp;42;4;0
403;preamp;42;3;0
402;preamp;42;2;0
401;preamp;42;1;0
400;preamp;42;0;0
#bit-address;#reg_name;#channel;#digit;#value
399;preamp;41;7;1
398;preamp;41;6;0
397;preamp;41;5;0
396;preamp;41;4;0
395;preamp;41;3;0
394;preamp;41;2;0
393;preamp;41;1;0
392;preamp;41;0;0
#bit-address;#reg_name;#channel;#digit;#value
391;preamp;40;7;1
390;preamp;40;6;0
389;preamp;40;5;0
388;preamp;40;4;0
387;preamp;40;3;0
386;preamp;40;2;0
385;preamp;40;1;0
384;preamp;40;0;0
#bit-address;#reg_name;#channel;#digit;#value
383;preamp;39;7;1
382;preamp;39;6;0
381;preamp;39;5;0
380;preamp;39;4;0
379;preamp;39;3;0
378;preamp;39;2;0
377;preamp;39;1;0
376;preamp;39;0;0
#bit-address;#reg_name;#channel;#digit;#value
375;preamp;38;7;1
374;preamp;38;6;0
373;preamp;38;5;0
372;preamp;38;4;0
371;preamp;38;3;0
370;preamp;38;2;0
369;preamp;38;1;0
368;preamp;38;0;0
#bit-address;#reg_name;#channel;#digit;#value
367;preamp;37;7;1
